[2024-05-28 11:25:19,437] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 11:26:53,910] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 11:27:49,921] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 11:30:10,446] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 11:31:29,257] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 14:10:49,877] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 14:12:01,777] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 14:12:01,790] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'}
[2024-05-28 14:13:40,654] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:15:16,880] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:18:24,613] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:18:24,633] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} Object of type str is not JSON serializable
[2024-05-28 14:19:42,966] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:19:42,985] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} Object of type str is not JSON serializable
[2024-05-28 14:20:01,919] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:20:41,734] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:21:49,567] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:31:42,283] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:31:42,295] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:32:07,164] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:32:07,176] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:32:32,904] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:32:32,917] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:32:57,160] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:32:57,175] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:33:40,697] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:33:40,716] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:34:20,478] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:34:20,490] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 14:35:27,627] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:35:27,641] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'keys'
[2024-05-28 14:36:49,630] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:36:49,641] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'keys'
[2024-05-28 14:37:14,089] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:37:14,098] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'keys'
[2024-05-28 14:37:25,913] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:37:25,926] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'keys'
[2024-05-28 14:47:46,406] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:47:46,418] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:47:59,862] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:47:59,878] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:49:16,685] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:49:16,699] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:49:37,214] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:49:37,224] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:49:41,750] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:49:41,752] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:49:57,155] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:49:57,173] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:50:31,872] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:50:31,884] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:51:08,411] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:51:08,424] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:51:27,438] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:51:55,335] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 14:51:55,346] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute 'to_json'
[2024-05-28 14:52:50,102] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 15:04:05,826] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 15:04:05,838] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_asdict'
[2024-05-28 15:05:28,544] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 15:05:28,562] ERROR 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} 'Hr_staff' object has no attribute '_mapping'
[2024-05-28 15:05:47,511] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
[2024-05-28 15:14:29,330] INFO 127.0.0.1 requested /hr/select_staff : {'staff_no': 'yinyeliu014'} None
