ID,发生日期,发生时间,结束日期,结束时间,报警日期,犯罪类型代码,犯罪类型描述,精确犯罪类型代码,精确犯罪类型描述,犯罪未遂标志,犯罪级别,事件司法管辖区,发生行政区,发生辖区,具体场所位置,发生地点类型,发生标志地名,发生住房区,长岛区X坐标,长岛区Y坐标,纬度,经度,经纬度,发生详细时间,结束详细时间,持续时间,与报警时间差
752226505,2014-07-24,22:44:00,,,2014-07-26,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,109.0,INSIDE,RESIDENCE - APT. HOUSE,,,1033086.0,213034.0,40.75127904,-73.82374103,"(40.751279035, -73.823741029)",2014-07-24 22:44:00,,,2
872023808,2014-01-31,14:23:00,,,2014-01-31,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40.0,,STREET,,,1008860.0,233679.0,40.80804469,-73.91110256,"(40.808044688, -73.911102561)",2014-01-31 14:23:00,,,0
470943079,2015-08-28,19:00:00,2015-08-28,22:30:00,2015-08-31,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,17.0,INSIDE,BAR/NIGHT CLUB,,,993166.0,215385.0,40.75786229,-73.96781838,"(40.757862291, -73.967818384)",2015-08-28 19:00:00,2015-08-28 22:30:00,210.0,3
925234039,2014-08-15,19:00:00,2014-08-16,10:00:00,2014-08-17,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13.0,INSIDE,RESIDENCE - APT. HOUSE,,,989738.0,209197.0,40.74088058,-73.98019709,"(40.740880579, -73.980197092)",2014-08-15 19:00:00,2014-08-16 10:00:00,900.0,2
428404134,2014-05-30,16:00:00,2014-05-30,16:24:00,2014-05-30,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14.0,INSIDE,CLOTHING/BOUTIQUE,,,988058.0,214775.0,40.75619167,-73.98625649,"(40.75619167, -73.986256492)",2014-05-30 16:00:00,2014-05-30 16:24:00,24.0,0
891610311,2015-06-10,15:20:00,,,2015-06-10,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,CLOTHING/BOUTIQUE,,,990776.0,216412.0,40.76068323,-73.9764443,"(40.76068323, -73.976444296)",2015-06-10 15:20:00,,,0
617487978,2014-05-09,22:00:00,2014-05-09,22:10:00,2014-05-09,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,45.0,FRONT OF,OTHER,,,1032974.0,255833.0,40.8687508,-73.82383461,"(40.868750797, -73.823834612)",2014-05-09 22:00:00,2014-05-09 22:10:00,10.0,0
453697007,2014-11-10,8:00:00,2014-11-10,23:00:00,2014-11-11,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79.0,INSIDE,RESIDENCE - APT. HOUSE,,,998489.0,188550.0,40.68419972,-73.94866133,"(40.684199723, -73.948661329)",2014-11-10 08:00:00,2014-11-10 23:00:00,900.0,1
461190786,2015-04-17,8:29:00,,,2015-04-17,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,72.0,INSIDE,RESIDENCE - APT. HOUSE,,,980821.0,173592.0,40.64315411,-74.01235743,"(40.643154105, -74.012357433)",2015-04-17 08:29:00,,,0
533853963,2015-07-23,22:30:00,,,2015-07-23,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32.0,FRONT OF,STREET,,,999845.0,235403.0,40.8127971,-73.9436635,"(40.812797101, -73.943663498)",2015-07-23 22:30:00,,,0
760660585,2015-02-15,15:35:00,2015-02-15,15:40:00,2015-02-15,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77.0,,STREET,,,1004196.0,183865.0,40.67132944,-73.92809805,"(40.67132944, -73.928098052)",2015-02-15 15:35:00,2015-02-15 15:40:00,5.0,0
597349382,2014-03-20,22:30:00,2014-03-20,23:00:00,2014-03-21,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17.0,INSIDE,HOTEL/MOTEL,,,991717.0,214548.0,40.75556628,-73.9730496,"(40.755566281, -73.973049602)",2014-03-20 22:30:00,2014-03-20 23:00:00,30.0,1
428090384,2014-12-07,20:00:00,2014-12-07,20:00:00,2014-12-07,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,84.0,INSIDE,GYM/FITNESS FACILITY,,,986542.0,191874.0,40.6933345,-73.99173628,"(40.693334497, -73.991736282)",2014-12-07 20:00:00,2014-12-07 20:00:00,0.0,0
768420469,2014-10-27,23:00:00,2014-10-27,23:30:00,2014-10-31,359,OFFENSES AGAINST PUBLIC ADMINI,748.0,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70.0,INSIDE,RESIDENCE - APT. HOUSE,,,993085.0,169397.0,40.63163598,-73.96817107,"(40.631635982, -73.968171071)",2014-10-27 23:00:00,2014-10-27 23:30:00,30.0,4
349096035,2014-11-14,16:50:00,2014-11-14,18:10:00,2014-11-14,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18.0,INSIDE,DEPARTMENT STORE,,,991531.0,217373.0,40.76332034,-73.9737179,"(40.763320339, -73.973717904)",2014-11-14 16:50:00,2014-11-14 18:10:00,80.0,0
546837173,2015-02-02,13:00:00,2015-02-03,8:00:00,2015-02-24,109,GRAND LARCENY,401.0,"LARCENY,GRAND BY ACQUIRING LOS",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101.0,INSIDE,RESIDENCE-HOUSE,,,1051162.0,155661.0,40.59368533,-73.75907038,"(40.593685327, -73.75907038)",2015-02-02 13:00:00,2015-02-03 08:00:00,1140.0,22
750445259,2014-08-12,10:30:00,2014-08-12,10:40:00,2014-08-12,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44.0,INSIDE,STORE UNCLASSIFIED,,,1006195.0,240322.0,40.82628488,-73.92070763,"(40.826284877, -73.920707634)",2014-08-12 10:30:00,2014-08-12 10:40:00,10.0,0
402922177,2015-11-21,12:00:00,2015-11-21,12:38:00,2015-11-21,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,,STREET,,,1021408.0,238422.0,40.82101902,-73.86574913,"(40.821019023, -73.865749125)",2015-11-21 12:00:00,2015-11-21 12:38:00,38.0,0
419784540,2015-11-04,16:45:00,2015-11-04,16:50:00,2015-11-04,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120.0,,PARK/PLAYGROUND,CPL. THOMPSON PARK,,950771.0,172595.0,40.64035494,-74.12063399,"(40.64035494, -74.120633986)",2015-11-04 16:45:00,2015-11-04 16:50:00,5.0,0
119080240,2014-08-28,20:45:00,,,2014-08-28,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43.0,REAR OF,RESIDENCE - APT. HOUSE,,,1024490.0,244699.0,40.83823407,-73.85457619,"(40.83823407, -73.854576191)",2014-08-28 20:45:00,,,0
793907107,2014-05-22,20:05:00,2014-05-22,20:15:00,2014-05-22,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23.0,INSIDE,RESIDENCE - APT. HOUSE,,,1000253.0,226668.0,40.78882119,-73.94221039,"(40.788821185, -73.942210388)",2014-05-22 20:05:00,2014-05-22 20:15:00,10.0,0
285848663,2015-12-18,13:21:00,2015-12-18,13:30:00,2015-12-18,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5.0,INSIDE,CHAIN STORE,,,983961.0,201734.0,40.72039817,-74.00104403,"(40.720398165, -74.001044031)",2015-12-18 13:21:00,2015-12-18 13:30:00,9.0,0
596988182,2015-02-05,6:30:00,2015-02-06,5:30:00,2015-02-06,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25.0,REAR OF,RESIDENCE - PUBLIC HOUSING,,,1002778.0,230450.0,40.79919682,-73.93308152,"(40.799196819, -73.933081517)",2015-02-05 06:30:00,2015-02-06 05:30:00,1380.0,1
724944397,2015-03-04,20:05:00,2015-03-04,20:10:00,2015-03-04,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75.0,,STREET,,,1013046.0,183111.0,40.66923552,-73.89619791,"(40.669235517, -73.896197908)",2015-03-04 20:05:00,2015-03-04 20:10:00,5.0,0
761502142,2014-10-05,0:28:00,,,2014-10-05,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25.0,FRONT OF,GROCERY/BODEGA,,,1001807.0,229471.0,40.79651171,-73.93659116,"(40.796511713, -73.936591159)",2014-10-05 00:28:00,,,0
271033734,2014-04-01,12:00:00,2014-04-03,14:00:00,2014-04-03,365,ADMINISTRATIVE CODE,878.0,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106.0,INSIDE,RESIDENCE-HOUSE,,,1032422.0,188798.0,40.6847608,-73.82631099,"(40.684760798, -73.826310993)",2014-04-01 12:00:00,2014-04-03 14:00:00,120.0,2
640949296,2014-11-06,21:00:00,2014-11-07,8:00:00,2014-11-07,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44.0,,STREET,,,1006375.0,246656.0,40.84366942,-73.92003635,"(40.843669424, -73.92003635)",2014-11-06 21:00:00,2014-11-07 08:00:00,660.0,1
771130412,2014-06-01,12:53:00,2014-06-01,16:40:00,2014-06-01,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14.0,INSIDE,CHAIN STORE,,,986454.0,213102.0,40.75160026,-73.99204667,"(40.751600255, -73.992046671)",2014-06-01 12:53:00,2014-06-01 16:40:00,227.0,0
208180644,2014-03-04,12:50:00,2014-03-04,13:05:00,2014-03-04,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,104.0,,STREET,,,,,,,,2014-03-04 12:50:00,2014-03-04 13:05:00,15.0,0
892035915,2014-06-07,23:05:00,2014-06-07,23:15:00,2014-06-08,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,6.0,,TRANSIT - NYC SUBWAY,,,983551.0,208788.0,40.73975965,-74.00252386,"(40.73975965, -74.002523863)",2014-06-07 23:05:00,2014-06-07 23:15:00,10.0,1
